# file...... loads_voltage_C.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# group..... class= load
# property.. voltage_C
# limit..... -1
# interval.. 3600
# timestamp,Load1,Load2,Load4,Load5,Load6,Load7,Load9,Load10,Load11,Load12,Load16,Load17,Load19,Load20,Load22,Load24,Load28,Load29,Load30,Load31,Load32,Load33,Load34,Load35,Load37,Load38,Load39,Load41,Load42,Load43,Load45,Load46,Load47,Load48,Load49,Load50,Load51,Load52,Load53,Load55,Load56,Load58,Load59,Load60,Load62,Load63,Load64,Load65,Load66,Load68,Load69,Load70,Load71,Load73,Load74,Load75,Load76,Load77,Load79,Load80,Load82,Load83,Load84,Load85,Load86,Load87,Load88,Load90,Load92,Load94,Load95,Load96,Load98,Load99,Load100,Load102,Load103,Load104,Load106,Load107,Load109,Load111,Load112,Load113,Load114
2016-11-04 00:00:00 PDT,-1235.98+2170.2j,+0+0j,-1232.63+2168.13j,-1230.77+2166.09j,-1229.47+2164.94j,-1225.14+2170.32j,+0+0j,+0+0j,+0+0j,+0+0j,-1203.2+2169.87j,-1204.16+2170.14j,+0+0j,+0+0j,+0+0j,-1198.81+2172.49j,-1201.03+2171.49j,-1200.87+2171.14j,-1200.21+2171.21j,-1192.86+2157.99j,-1192.49+2157.89j,+0+0j,-1204.95+2170.36j,-1200.24+2178.84j,+0+0j,+0+0j,+0+0j,-1198.6+2181.45j,-1197.35+2184.13j,+0+0j,+0+0j,+0+0j,-1194.47+2188.4j,-1193.83+2188.12j,-1194.68+2191.66j,-1195+2194.73j,-1195.92+2197.74j,-1195.68+2169.44j,-1190.26+2168.67j,-1187.07+2168.21j,-1187.14+2168.3j,+0+0j,+0+0j,-1169.05+2167.39j,-1167.89+2164.23j,-1167.23+2162.72j,-1165.9+2159.69j,-1164.36+2156.04j,-1163.65+2155.15j,+0+0j,+0+0j,+0+0j,+0+0j,-1200.06+2236.5j,-1197.14+2234.49j,-1195.86+2234.11j,-1204.46+2241.82j,-1203.89+2246.45j,-1204.01+2247.24j,-1202.11+2253.33j,-1199.88+2261.55j,-1199.46+2264.52j,-1197.56+2257.94j,-1196.05+2257.49j,-1211.43+2247.72j,-1216.2+2251.26j,+0+0j,+0+0j,-1220+2257.49j,+0+0j,-1224.3+2256.36j,+0+0j,-1200.72+2229.68j,-1198.9+2229.19j,-1197.71+2228.7j,-1198.65+2226.28j,-1196.29+2225.58j,-1193.6+2224.79j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 01:00:00 PDT,+2180.09+1211.84j,+0+0j,+2179.18+1208.68j,+2178.65+1206.89j,+2177.49+1205.61j,+2180.74+1200.96j,+0+0j,+0+0j,+0+0j,+0+0j,+2181.17+1179.41j,+2181.45+1180.35j,+0+0j,+0+0j,+0+0j,+2186.36+1167.7j,+2185.37+1167.92j,+2185.02+1167.81j,+2185.07+1167.18j,+2171.74+1159.84j,+2171.64+1159.51j,+0+0j,+2181.66+1181.08j,+2193.04+1172.9j,+0+0j,+0+0j,+0+0j,+2196.37+1171.87j,+2199.78+1171.17j,+0+0j,+0+0j,+0+0j,+2205.34+1169.59j,+2205.06+1168.96j,+2208.39+1170.39j,+2211.27+1171.3j,+2214.1+1172.76j,+2180.86+1173.16j,+2180.15+1168.45j,+2179.7+1165.7j,+2179.78+1165.77j,+0+0j,+0+0j,+2179.18+1153j,+2176.09+1151.92j,+2174.62+1151.3j,+2171.69+1150.06j,+2168.06+1148.59j,+2167.2+1147.92j,+0+0j,+0+0j,+0+0j,+0+0j,+2251.78+1185.63j,+2249.76+1182.79j,+2249.4+1181.6j,+2257.87+1190.97j,+2262.37+1190.48j,+2263.13+1190.63j,+2269.09+1188.81j,+2277.18+1186.7j,+2280.09+1186.3j,+2273.66+1184.59j,+2273.23+1183.19j,+2262.74+1200.12j,+2265.83+1206.45j,+0+0j,+0+0j,+2272.04+1211.79j,+0+0j,+2271.1+1216.52j,+0+0j,+2244.09+1183.89j,+2243.56+1182.04j,+2243.07+1180.86j,+2240.89+1181.22j,+2240.22+1179.01j,+2239.47+1176.52j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 02:00:00 PDT,+2180.12+1212.11j,+0+0j,+2179.22+1208.98j,+2178.69+1207.18j,+2177.53+1205.9j,+2180.8+1201.37j,+0+0j,+0+0j,+0+0j,+0+0j,+2181.29+1180.05j,+2181.57+1181.02j,+0+0j,+0+0j,+0+0j,+2186.54+1168.71j,+2185.53+1168.93j,+2185.17+1168.83j,+2185.23+1168.22j,+2171.91+1160.89j,+2171.82+1160.58j,+0+0j,+2181.78+1181.72j,+2193.21+1173.81j,+0+0j,+0+0j,+0+0j,+2196.55+1172.82j,+2199.96+1172.13j,+0+0j,+0+0j,+0+0j,+2205.52+1170.61j,+2205.24+1169.97j,+2208.57+1171.43j,+2211.45+1172.36j,+2214.29+1173.83j,+2181.01+1173.88j,+2180.31+1169.21j,+2179.87+1166.49j,+2179.94+1166.54j,+0+0j,+0+0j,+2179.36+1154.06j,+2176.29+1152.99j,+2174.84+1152.38j,+2171.94+1151.16j,+2168.35+1149.72j,+2167.52+1149.07j,+0+0j,+0+0j,+0+0j,+0+0j,+2251.94+1186.85j,+2249.93+1184.04j,+2249.58+1182.88j,+2257.99+1192.18j,+2262.48+1191.72j,+2263.24+1191.89j,+2269.22+1190.11j,+2277.33+1188.07j,+2280.24+1187.68j,+2273.82+1186.04j,+2273.41+1184.67j,+2262.79+1201.34j,+2265.83+1207.68j,+0+0j,+0+0j,+2272+1213.08j,+0+0j,+2271.02+1217.78j,+0+0j,+2244.29+1185.04j,+2243.76+1183.19j,+2243.27+1182.01j,+2241.09+1182.41j,+2240.43+1180.22j,+2239.7+1177.81j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 03:00:00 PDT,+2180.13+1211.96j,+0+0j,+2179.22+1208.82j,+2178.69+1207.02j,+2177.53+1205.74j,+2180.83+1201.09j,+0+0j,+0+0j,+0+0j,+0+0j,+2181.3+1179.41j,+2181.61+1180.48j,+0+0j,+0+0j,+0+0j,+2186.61+1168.1j,+2185.6+1168.32j,+2185.25+1168.22j,+2185.3+1167.6j,+2171.98+1160.29j,+2171.89+1159.99j,+0+0j,+2181.82+1181.2j,+2193.29+1173.2j,+0+0j,+0+0j,+0+0j,+2196.63+1172.19j,+2200.05+1171.49j,+0+0j,+0+0j,+0+0j,+2205.62+1169.93j,+2205.33+1169.3j,+2208.67+1170.74j,+2211.56+1171.65j,+2214.4+1173.1j,+2181.08+1173.33j,+2180.39+1168.63j,+2179.95+1165.89j,+2180.02+1165.95j,+0+0j,+0+0j,+2179.49+1153.31j,+2176.41+1152.23j,+2174.96+1151.62j,+2172.05+1150.4j,+2168.45+1148.95j,+2167.61+1148.29j,+0+0j,+0+0j,+0+0j,+0+0j,+2252.08+1186.01j,+2250.07+1183.19j,+2249.72+1182.02j,+2258.14+1191.35j,+2262.64+1190.88j,+2263.4+1191.04j,+2269.38+1189.26j,+2277.49+1187.21j,+2280.4+1186.82j,+2273.98+1185.16j,+2273.55+1183.78j,+2262.94+1200.5j,+2265.99+1206.84j,+0+0j,+0+0j,+2272.15+1212.22j,+0+0j,+2271.17+1216.93j,+0+0j,+2244.46+1184.22j,+2243.96+1182.4j,+2243.47+1181.22j,+2241.23+1181.49j,+2240.54+1179.21j,+2239.8+1176.78j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 04:00:00 PDT,+2180.12+1211.3j,+0+0j,+2179.18+1208.02j,+2178.66+1206.28j,+2177.5+1205j,+2180.83+1199.99j,+0+0j,+0+0j,+0+0j,+0+0j,+2181.27+1177.37j,+2181.62+1178.56j,+0+0j,+0+0j,+0+0j,+2186.64+1165.27j,+2185.7+1165.56j,+2185.35+1165.4j,+2185.41+1164.71j,+2172.07+1157.59j,+2171.98+1157.29j,+0+0j,+2181.84+1179.31j,+2193.4+1170.64j,+0+0j,+0+0j,+0+0j,+2196.76+1169.55j,+2200.18+1168.77j,+0+0j,+0+0j,+0+0j,+2205.78+1167.06j,+2205.5+1166.43j,+2208.86+1167.79j,+2211.76+1168.63j,+2214.61+1170.06j,+2181.09+1171.26j,+2180.41+1166.44j,+2179.97+1163.62j,+2180.04+1163.68j,+0+0j,+0+0j,+2179.68+1150.41j,+2176.61+1149.35j,+2175.16+1148.75j,+2172.27+1147.54j,+2168.69+1146.11j,+2167.87+1145.47j,+0+0j,+0+0j,+0+0j,+0+0j,+2252.3+1182.46j,+2250.26+1179.54j,+2249.86+1178.25j,+2258.45+1187.92j,+2263+1187.4j,+2263.77+1187.55j,+2269.78+1185.68j,+2277.91+1183.53j,+2280.81+1183.14j,+2274.33+1181.29j,+2273.86+1179.77j,+2263.28+1196.98j,+2266.35+1203.26j,+0+0j,+0+0j,+2272.52+1208.45j,+0+0j,+2271.58+1213.25j,+0+0j,+2244.69+1181.02j,+2244.23+1179.23j,+2243.74+1178.05j,+2241.44+1178.09j,+2240.69+1175.62j,+2239.89+1172.99j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 05:00:00 PDT,+2180.04+1209.66j,+0+0j,+2179.01+1206.08j,+2178.54+1204.48j,+2177.37+1203.21j,+2180.7+1197.27j,+0+0j,+0+0j,+0+0j,+0+0j,+2180.97+1172.39j,+2181.38+1173.8j,+0+0j,+0+0j,+0+0j,+2186.37+1158.3j,+2185.56+1158.75j,+2185.22+1158.46j,+2185.29+1157.63j,+2171.91+1150.85j,+2171.81+1150.52j,+0+0j,+2181.63+1174.65j,+2193.27+1164.3j,+0+0j,+0+0j,+0+0j,+2196.64+1162.99j,+2200.1+1162.01j,+0+0j,+0+0j,+0+0j,+2205.75+1159.94j,+2205.46+1159.31j,+2208.87+1160.47j,+2211.78+1161.13j,+2214.64+1162.5j,+2180.84+1166.1j,+2180.14+1160.96j,+2179.71+1157.95j,+2179.79+1158.01j,+0+0j,+0+0j,+2179.69+1143j,+2176.57+1141.9j,+2175.09+1141.28j,+2172.12+1140.02j,+2168.46+1138.53j,+2167.57+1137.85j,+0+0j,+0+0j,+0+0j,+0+0j,+2252.42+1173.6j,+2250.3+1170.46j,+2249.82+1168.91j,+2258.79+1179.3j,+2263.44+1178.65j,+2264.22+1178.75j,+2270.27+1176.68j,+2278.35+1174.24j,+2281.25+1173.82j,+2274.63+1171.55j,+2274.06+1169.72j,+2263.82+1188.19j,+2266.99+1194.35j,+0+0j,+0+0j,+2273.23+1199.1j,+0+0j,+2272.43+1204.11j,+0+0j,+2244.79+1172.89j,+2244.4+1171.18j,+2243.9+1170j,+2241.47+1169.51j,+2240.57+1166.6j,+2239.61+1163.47j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 06:00:00 PDT,+2179.9+1207.41j,+0+0j,+2178.78+1203.49j,+2178.35+1202.04j,+2177.18+1200.77j,+2180.44+1193.54j,+0+0j,+0+0j,+0+0j,+0+0j,+2180.41+1165.68j,+2180.88+1167.28j,+0+0j,+0+0j,+0+0j,+2185.7+1148.97j,+2185.06+1149.58j,+2184.73+1149.15j,+2184.81+1148.15j,+2171.38+1141.64j,+2171.26+1141.25j,+0+0j,+2181.18+1168.28j,+2192.77+1155.71j,+0+0j,+0+0j,+0+0j,+2196.14+1154.08j,+2199.61+1152.86j,+0+0j,+0+0j,+0+0j,+2205.3+1150.28j,+2205.01+1149.65j,+2208.47+1150.54j,+2211.39+1150.96j,+2214.25+1152.23j,+2180.3+1159j,+2179.56+1153.41j,+2179.13+1150.13j,+2179.23+1150.2j,+0+0j,+0+0j,+2179.33+1132.6j,+2176.03+1131.38j,+2174.42+1130.66j,+2171.19+1129.22j,+2167.21+1127.5j,+2166.08+1126.64j,+0+0j,+0+0j,+0+0j,+0+0j,+2252.17+1161.51j,+2249.96+1158.11j,+2249.37+1156.25j,+2258.83+1167.45j,+2263.56+1166.59j,+2264.35+1166.63j,+2270.42+1164.25j,+2278.4+1161.4j,+2281.29+1160.92j,+2274.5+1158.13j,+2273.81+1155.94j,+2264.18+1176.18j,+2267.54+1182.19j,+0+0j,+0+0j,+2273.92+1186.45j,+0+0j,+2273.33+1191.71j,+0+0j,+2244.46+1161.64j,+2244.15+1160j,+2243.65+1158.83j,+2241.04+1157.73j,+2239.97+1154.32j,+2238.79+1150.57j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 07:00:00 PDT,+2179.95+1208.21j,+0+0j,+2178.92+1204.59j,+2178.44+1203.01j,+2177.28+1201.73j,+2180.42+1194.96j,+0+0j,+0+0j,+0+0j,+0+0j,+2180.38+1168.56j,+2180.76+1169.85j,+0+0j,+0+0j,+0+0j,+2185.42+1153.16j,+2184.65+1153.58j,+2184.31+1153.29j,+2184.38+1152.44j,+2170.98+1145.42j,+2170.84+1144.97j,+0+0j,+2181.05+1170.84j,+2192.32+1159.31j,+0+0j,+0+0j,+0+0j,+2195.65+1157.77j,+2199.08+1156.67j,+0+0j,+0+0j,+0+0j,+2204.71+1154.29j,+2204.42+1153.66j,+2207.83+1154.65j,+2210.72+1155.16j,+2213.54+1156.43j,+2180.13+1161.69j,+2179.36+1156.24j,+2178.94+1153.04j,+2179.05+1153.12j,+0+0j,+0+0j,+2178.72+1136.02j,+2175.21+1134.64j,+2173.46+1133.8j,+2169.94+1132.14j,+2165.61+1130.14j,+2164.2+1129.06j,+0+0j,+0+0j,+0+0j,+0+0j,+2251.53+1166.28j,+2249.38+1163.09j,+2248.88+1161.49j,+2258.01+1171.94j,+2262.61+1171.13j,+2263.37+1171.2j,+2269.34+1168.92j,+2277.23+1166.21j,+2280.13+1165.71j,+2273.49+1163.31j,+2272.89+1161.42j,+2263.42+1180.9j,+2266.83+1187.05j,+0+0j,+0+0j,+2273.27+1191.72j,+0+0j,+2272.65+1196.81j,+0+0j,+2243.72+1165.7j,+2243.32+1163.99j,+2242.82+1162.81j,+2240.32+1162.19j,+2239.38+1159.17j,+2238.33+1155.79j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 08:00:00 PDT,+2180.12+1210.51j,+0+0j,+2179.22+1207.38j,+2178.69+1205.58j,+2177.53+1204.3j,+2180.7+1198.77j,+0+0j,+0+0j,+0+0j,+0+0j,+2181+1175.65j,+2181.28+1176.62j,+0+0j,+0+0j,+0+0j,+2186.05+1163.49j,+2185.05+1163.68j,+2184.69+1163.58j,+2184.74+1162.98j,+2171.41+1155.51j,+2171.3+1155.14j,+0+0j,+2181.51+1177.4j,+2192.73+1168.43j,+0+0j,+0+0j,+0+0j,+2196.05+1167.21j,+2199.44+1166.34j,+0+0j,+0+0j,+0+0j,+2205+1164.45j,+2204.71+1163.82j,+2208.05+1165.07j,+2210.92+1165.8j,+2213.75+1167.1j,+2180.7+1168.71j,+2179.96+1163.59j,+2179.54+1160.6j,+2179.64+1160.67j,+0+0j,+0+0j,+2178.95+1145.57j,+2175.29+1144.06j,+2173.43+1143.14j,+2169.71+1141.29j,+2165.12+1139.09j,+2163.53+1137.85j,+0+0j,+0+0j,+0+0j,+0+0j,+2251.55+1178.28j,+2249.53+1175.47j,+2249.18+1174.31j,+2257.64+1183.58j,+2262.08+1183.04j,+2262.83+1183.18j,+2268.72+1181.3j,+2276.68+1179.1j,+2279.58+1178.65j,+2273.2+1177.03j,+2272.77+1175.66j,+2262.68+1192.83j,+2265.87+1199.21j,+0+0j,+0+0j,+2272.16+1204.62j,+0+0j,+2271.28+1209.37j,+0+0j,+2243.82+1176.57j,+2243.3+1174.75j,+2242.81+1173.57j,+2240.55+1173.91j,+2239.85+1171.62j,+2239.07+1169.07j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-11-04 09:00:00 PDT,+2180.24+1213.4j,+0+0j,+2179.48+1210.78j,+2178.89+1208.75j,+2177.72+1207.47j,+2180.96+1203.49j,+0+0j,+0+0j,+0+0j,+0+0j,+2181.64+1184.35j,+2181.82+1184.96j,+0+0j,+0+0j,+0+0j,+2186.71+1175.67j,+2185.48+1175.64j,+2185.1+1175.75j,+2185.14+1175.39j,+2171.88+1167.53j,+2171.8+1167.26j,+0+0j,+2181.97+1185.47j,+2193.17+1179.39j,+0+0j,+0+0j,+0+0j,+2196.48+1178.58j,+2199.85+1177.98j,+0+0j,+0+0j,+0+0j,+2205.33+1176.69j,+2205.05+1176.06j,+2208.31+1177.63j,+2211.16+1178.64j,+2213.98+1180.01j,+2181.26+1177.41j,+2180.57+1172.76j,+2180.14+1170.04j,+2180.22+1170.1j,+0+0j,+0+0j,+2179.16+1157.71j,+2175.48+1156.16j,+2173.61+1155.22j,+2169.86+1153.33j,+2165.25+1151.08j,+2163.64+1149.82j,+0+0j,+0+0j,+0+0j,+0+0j,+2251.5+1192.99j,+2249.62+1190.56j,+2249.4+1189.85j,+2257.18+1197.92j,+2261.47+1197.68j,+2262.2+1197.92j,+2268.04+1196.48j,+2276.11+1194.87j,+2279.02+1194.49j,+2272.88+1193.67j,+2272.63+1192.83j,+2261.74+1207.43j,+2264.66+1214.04j,+0+0j,+0+0j,+2270.73+1220.2j,+0+0j,+2269.56+1224.59j,+0+0j,+2243.89+1190.1j,+2243.23+1188.14j,+2242.74+1186.96j,+2240.78+1188.4j,+2240.34+1186.92j,+2239.84+1185.27j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
