case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,october,peak,4.78,4.78,4.78,4.78,5.05,7.07,7.0,11.93,11.96,12.18,12.55,12.24,13.19,13.38,13.57,13.54,8.64,8.32,8.16,7.6,7.6,5.05,4.78,4.78
bc,october,week,4.54,4.54,4.54,4.54,4.79,6.61,5.9,10.91,10.91,10.94,11.02,10.56,11.22,11.34,11.39,11.38,7.06,7.08,7.6,7.1,7.1,4.79,4.54,4.54
bc,october,weekend,4.23,4.23,4.23,4.23,4.23,5.49,3.69,3.91,3.91,3.91,3.92,3.2,3.22,3.23,3.22,3.2,2.91,3.72,4.23,4.23,4.23,4.23,4.23,4.23
bc,september,peak,4.78,4.78,4.78,4.78,5.05,7.92,6.38,13.57,13.85,14.31,14.95,14.43,15.44,15.29,15.32,15.47,10.24,8.3,9.26,8.43,8.16,5.05,4.78,4.78
bc,september,week,4.52,4.52,4.52,4.52,4.77,5.9,5.39,11.07,11.33,11.55,11.87,11.31,12.11,12.21,12.27,12.43,7.88,6.05,7.57,7.22,7.15,4.77,4.52,4.52
bc,september,weekend,4.23,4.23,4.23,4.23,4.23,5.1,3.5,4.46,4.54,4.68,4.84,3.98,4.06,4.13,4.14,4.23,3.7,2.17,3.96,4.23,4.23,4.23,4.23,4.23
bci,april,peak,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48
bci,april,week,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.46,3.59,2.66,1.54,2.44,3.19,4.02,5.44,3.15,4.13,5.48,5.48,5.48,5.48,5.48,5.48
bci,april,weekend,4.23,4.23,4.23,4.23,4.23,4.14,2.19,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62
bci,august,peak,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,6.75,6.47,7.99,0.0,1.66,7.99,7.99,7.55,7.65,7.99,7.99,7.99,5.06,7.63,7.99
bci,august,week,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,6.15,4.54,3.58,3.01,0.0,0.0,0.0,2.62,5.46,5.98,7.99,7.99,7.99,4.84,4.58,6.94
bci,august,weekend,4.23,4.23,4.23,4.23,4.23,3.83,1.99,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07
bci,december,peak,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
bci,december,week,4.6,5.35,6.99,6.99,6.99,6.99,6.99,6.99,6.99,5.97,4.23,3.91,4.62,3.76,3.1,5.65,6.99,6.99,6.99,6.99,6.99,6.99,4.8,4.55
bci,december,weekend,4.34,4.42,4.48,4.56,4.61,4.65,5.96,4.3,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.51,4.58,4.68,4.67,4.68
bci,february,peak,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,4.8,3.77,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87
bci,february,week,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,3.7,2.59,1.58,1.02,1.5,2.35,3.65,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87
bci,february,weekend,4.23,4.23,4.23,4.23,4.23,4.23,5.38,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,4.28,4.3
bci,january,peak,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86
bci,january,week,4.56,5.5,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.01,5.0,4.45,4.06,3.85,4.36,4.64,6.86,6.86,6.86,6.86,6.86,6.86,4.8,4.55
bci,january,weekend,4.31,4.3,4.31,4.3,4.37,4.39,5.66,4.26,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,4.33,4.35,4.34,4.36
bci,july,peak,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,5.06,6.65,8.17
bci,july,week,8.07,8.17,8.17,8.17,8.17,8.17,8.17,8.17,6.5,4.88,4.21,3.55,0.0,0.0,0.0,4.07,5.79,5.79,6.43,7.68,8.15,4.78,4.54,4.54
bci,july,weekend,4.23,4.23,4.23,4.23,3.54,3.65,2.14,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49
