case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,october,peak,1.15,1.05,1.06,1.09,1.2,1.53,1.85,1.65,1.46,1.21,1.18,1.13,1.1,1.06,1.1,1.29,1.7,2.09,2.5,2.64,2.64,2.4,1.98,1.57
bc,october,week,0.89,0.83,0.83,0.85,0.92,1.19,1.55,1.45,1.15,1.06,1.01,0.98,0.94,0.93,0.97,1.14,1.5,1.85,2.23,2.37,2.16,1.78,1.41,1.02
bc,october,weekend,0.92,0.85,0.85,0.87,0.96,1.26,1.65,1.57,1.29,1.2,1.17,1.11,1.07,1.04,1.08,1.25,1.63,2.0,2.4,2.56,2.37,1.97,1.55,1.14
bc,september,peak,1.26,1.1,0.97,0.91,0.95,1.14,1.42,1.4,1.21,1.56,2.03,2.53,3.02,3.09,3.31,3.77,4.05,4.03,3.49,3.44,3.03,2.3,1.62,1.63
bc,september,week,0.72,0.66,0.66,0.67,0.74,0.98,1.26,1.15,0.95,1.0,1.14,1.36,1.53,1.65,1.81,2.04,2.23,2.33,2.34,2.55,2.29,1.76,1.29,0.87
bc,september,weekend,0.75,0.69,0.69,0.71,0.79,1.06,1.36,1.25,1.04,1.18,1.49,1.9,2.28,2.54,2.81,3.02,3.16,2.98,2.84,2.92,2.57,1.94,1.45,0.93
bci,april,peak,1.08,1.02,1.01,1.0,1.07,1.32,1.47,1.13,0.74,0.55,0.44,0.37,0.38,0.38,0.5,0.77,1.24,1.57,2.03,2.46,2.53,2.1,1.67,1.25
bci,april,week,0.88,0.83,0.84,0.85,0.93,1.15,1.29,0.94,0.54,0.34,0.23,0.14,0.12,0.16,0.25,0.5,0.95,1.29,1.73,2.14,2.21,1.8,1.42,1.03
bci,april,weekend,0.97,0.9,0.9,0.92,0.99,1.22,1.38,1.08,0.69,0.49,0.39,0.29,0.28,0.32,0.41,0.65,1.1,1.44,1.89,2.29,2.4,2.01,1.59,1.16
bci,august,peak,0.73,0.58,0.57,0.57,0.63,0.83,0.98,0.64,0.32,0.57,0.93,1.59,2.19,2.86,3.39,3.81,4.25,4.08,3.76,3.59,3.53,2.69,1.93,1.08
bci,august,week,0.63,0.56,0.54,0.54,0.6,0.78,0.91,0.56,0.2,0.03,0.0,0.2,0.48,0.95,1.49,2.05,2.57,2.68,2.62,2.66,2.62,1.93,1.32,0.81
bci,august,weekend,0.66,0.58,0.57,0.57,0.63,0.82,0.97,0.63,0.27,0.12,0.13,0.26,0.59,0.99,1.53,2.07,2.64,2.78,2.76,2.75,2.73,1.97,1.38,0.87
bci,december,peak,1.45,1.29,1.2,1.24,1.24,1.35,1.66,2.03,1.64,1.25,1.06,0.98,1.03,0.87,0.8,1.14,2.13,2.95,3.39,3.24,3.12,2.91,2.46,2.04
bci,december,week,1.21,1.06,0.99,0.99,0.99,1.06,1.35,1.72,1.3,0.9,0.68,0.62,0.68,0.51,0.46,0.84,1.78,2.56,2.95,2.8,2.67,2.44,2.01,1.62
bci,december,weekend,1.34,1.18,1.11,1.11,1.12,1.2,1.51,1.89,1.46,1.03,0.81,0.74,0.8,0.62,0.56,0.93,1.9,2.73,3.14,2.99,2.87,2.63,2.18,1.77
bci,february,peak,1.39,1.23,1.18,1.17,1.18,1.25,1.57,1.82,1.3,0.78,0.67,0.53,0.49,0.46,0.55,0.71,1.26,2.22,2.73,3.06,2.93,2.7,2.25,1.84
bci,february,week,1.2,1.04,0.99,0.98,0.99,1.07,1.34,1.54,1.1,0.61,0.46,0.33,0.27,0.22,0.29,0.48,1.03,1.98,2.49,2.77,2.69,2.45,2.02,1.63
bci,february,weekend,1.3,1.13,1.07,1.07,1.07,1.16,1.47,1.69,1.24,0.74,0.6,0.46,0.4,0.34,0.39,0.58,1.14,2.13,2.66,2.95,2.87,2.62,2.17,1.74
bci,january,peak,1.51,1.41,1.34,1.31,1.28,1.39,1.74,2.16,1.72,1.29,1.14,1.0,0.96,0.83,0.87,0.99,1.9,2.71,3.2,3.22,2.99,2.81,2.34,1.92
bci,january,week,1.23,1.06,1.0,0.99,0.99,1.06,1.36,1.78,1.32,0.93,0.79,0.7,0.67,0.57,0.6,0.73,1.62,2.4,2.89,2.92,2.72,2.49,2.06,1.65
bci,january,weekend,1.28,1.1,1.04,1.04,1.03,1.11,1.45,1.89,1.45,1.04,0.92,0.85,0.8,0.67,0.71,0.82,1.73,2.54,3.05,3.09,2.87,2.62,2.17,1.71
bci,july,peak,1.13,0.78,0.68,0.94,0.99,1.1,1.1,1.01,1.07,1.53,1.99,2.62,3.2,3.83,4.42,5.07,5.37,5.45,5.55,4.72,4.34,3.35,2.4,1.63
bci,july,week,0.7,0.59,0.6,0.61,0.68,0.84,0.89,0.62,0.43,0.52,0.72,1.02,1.36,1.8,2.18,2.63,3.12,3.1,2.99,3.0,2.99,2.36,1.66,0.99
bci,july,weekend,0.77,0.66,0.65,0.66,0.74,0.92,0.99,0.72,0.59,0.78,1.02,1.38,1.76,2.18,2.66,3.22,3.71,3.66,3.56,3.43,3.35,2.62,1.78,0.99
bci,june,peak,1.14,0.92,0.92,0.93,0.99,1.12,1.1,0.95,0.83,0.96,0.89,1.16,1.52,1.97,2.49,2.76,3.36,3.26,3.22,3.2,3.14,2.61,2.02,1.4
bci,june,week,0.71,0.64,0.65,0.67,0.74,0.88,0.89,0.56,0.28,0.23,0.28,0.42,0.65,0.92,1.3,1.72,2.15,2.3,2.35,2.41,2.46,1.98,1.36,0.87
bci,june,weekend,0.78,0.71,0.73,0.75,0.82,0.98,1.0,0.65,0.38,0.27,0.33,0.5,0.68,1.0,1.43,1.98,2.45,2.62,2.72,2.71,2.75,2.13,1.51,0.97
bci,march,peak,1.32,1.18,1.11,1.11,1.11,1.23,1.42,1.36,0.99,0.59,0.45,0.41,0.35,0.39,0.46,0.63,1.01,1.78,2.29,2.68,2.79,2.57,2.14,1.75
bci,march,week,1.12,0.96,0.9,0.89,0.9,0.97,1.15,1.14,0.8,0.42,0.3,0.24,0.17,0.22,0.29,0.47,0.85,1.6,2.08,2.45,2.55,2.33,1.92,1.54
bci,march,weekend,1.23,1.07,1.01,1.01,1.01,1.08,1.28,1.28,0.92,0.54,0.42,0.36,0.27,0.32,0.38,0.56,0.95,1.74,2.24,2.62,2.72,2.48,2.04,1.62
bci,may,peak,1.06,1.01,1.0,1.01,1.1,1.25,1.25,0.92,0.59,0.48,0.32,0.22,0.24,0.26,0.38,0.67,1.14,1.42,1.74,2.11,2.35,1.98,1.59,1.15
bci,may,week,0.84,0.79,0.8,0.81,0.89,1.03,1.08,0.72,0.37,0.24,0.09,0.0,0.03,0.05,0.2,0.49,0.92,1.2,1.53,1.88,2.11,1.75,1.36,0.96
bci,may,weekend,0.89,0.84,0.84,0.86,0.93,1.08,1.15,0.79,0.42,0.29,0.14,0.05,0.08,0.1,0.27,0.55,0.99,1.28,1.63,2.0,2.25,1.88,1.48,1.06
bci,november,peak,1.29,1.12,1.06,1.04,1.05,1.15,1.45,1.6,1.28,0.91,0.76,0.67,0.56,0.65,0.65,0.98,1.86,2.61,2.99,2.92,2.79,2.57,2.14,1.73
bci,november,week,1.12,0.97,0.9,0.9,0.9,0.97,1.2,1.32,1.03,0.66,0.5,0.38,0.26,0.34,0.37,0.69,1.56,2.29,2.69,2.65,2.54,2.32,1.91,1.52
bci,november,weekend,1.17,1.0,0.94,0.92,0.93,1.01,1.26,1.42,1.14,0.78,0.65,0.53,0.4,0.47,0.48,0.8,1.68,2.46,2.87,2.82,2.71,2.48,2.03,1.6
bci,october,peak,1.15,1.05,1.06,1.09,1.2,1.53,1.81,1.32,0.94,0.5,0.4,0.33,0.3,0.31,0.48,0.86,1.52,2.09,2.5,2.64,2.64,2.4,1.98,1.57
bci,october,week,0.89,0.83,0.83,0.85,0.92,1.19,1.51,1.13,0.63,0.34,0.23,0.17,0.14,0.18,0.35,0.72,1.32,1.85,2.23,2.37,2.16,1.78,1.41,1.02
bci,october,weekend,0.92,0.85,0.85,0.87,0.96,1.26,1.61,1.24,0.77,0.49,0.39,0.31,0.27,0.29,0.46,0.83,1.46,2.0,2.4,2.56,2.37,1.97,1.55,1.14
bci,september,peak,1.26,1.1,0.97,0.91,0.95,1.14,1.33,1.08,0.64,0.86,1.24,1.71,2.27,2.4,2.72,3.29,3.73,3.99,3.49,3.44,3.03,2.3,1.62,1.63
bci,september,week,0.72,0.66,0.66,0.67,0.74,0.98,1.18,0.83,0.38,0.3,0.35,0.53,0.77,0.96,1.22,1.55,1.91,2.29,2.34,2.55,2.29,1.76,1.29,0.87
bci,september,weekend,0.75,0.69,0.69,0.71,0.79,1.06,1.27,0.92,0.48,0.48,0.71,1.08,1.53,1.85,2.22,2.53,2.84,2.94,2.84,2.92,2.57,1.94,1.45,0.93
