case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,october,peak,0.4,0.35,0.35,0.35,0.39,0.48,0.56,0.53,0.46,0.36,0.35,0.35,0.35,0.36,0.38,0.45,0.58,0.69,0.8,0.83,0.83,0.77,0.64,0.52
bc,october,week,0.33,0.31,0.31,0.3,0.33,0.41,0.5,0.45,0.35,0.33,0.33,0.32,0.33,0.34,0.35,0.42,0.53,0.64,0.75,0.79,0.73,0.61,0.5,0.37
bc,october,weekend,0.34,0.32,0.32,0.31,0.34,0.43,0.52,0.47,0.37,0.35,0.34,0.34,0.35,0.35,0.37,0.44,0.56,0.67,0.78,0.83,0.77,0.64,0.53,0.4
bc,september,peak,0.32,0.3,0.3,0.29,0.32,0.39,0.46,0.41,0.33,0.32,0.31,0.31,0.32,0.34,0.38,0.5,0.67,0.74,0.72,0.81,0.77,0.62,0.49,0.36
bc,september,week,0.3,0.28,0.28,0.27,0.29,0.36,0.43,0.38,0.31,0.3,0.3,0.3,0.3,0.31,0.32,0.38,0.48,0.55,0.64,0.73,0.69,0.57,0.47,0.35
bc,september,weekend,0.31,0.29,0.29,0.28,0.31,0.38,0.46,0.4,0.32,0.31,0.31,0.31,0.32,0.35,0.38,0.46,0.6,0.66,0.72,0.81,0.76,0.62,0.49,0.36
bci,april,peak,0.4,0.38,0.38,0.37,0.4,0.48,0.54,0.47,0.39,0.38,0.38,0.37,0.38,0.38,0.4,0.46,0.58,0.63,0.71,0.82,0.82,0.69,0.57,0.45
bci,april,week,0.35,0.34,0.34,0.33,0.36,0.43,0.49,0.43,0.35,0.34,0.34,0.33,0.33,0.34,0.35,0.41,0.51,0.57,0.65,0.75,0.75,0.62,0.52,0.4
bci,april,weekend,0.38,0.36,0.36,0.35,0.38,0.45,0.52,0.46,0.38,0.37,0.36,0.36,0.36,0.37,0.38,0.44,0.54,0.61,0.68,0.78,0.8,0.68,0.56,0.44
bci,august,peak,0.31,0.29,0.29,0.28,0.31,0.37,0.43,0.38,0.31,0.3,0.3,0.31,0.38,0.48,0.58,0.67,0.87,0.92,0.89,0.89,0.89,0.71,0.54,0.36
bci,august,week,0.3,0.28,0.28,0.27,0.29,0.35,0.41,0.36,0.29,0.29,0.29,0.29,0.29,0.3,0.34,0.42,0.56,0.61,0.64,0.69,0.72,0.58,0.46,0.35
bci,august,weekend,0.31,0.29,0.29,0.28,0.31,0.37,0.43,0.37,0.31,0.3,0.3,0.3,0.31,0.34,0.38,0.45,0.58,0.62,0.66,0.73,0.76,0.61,0.49,0.36
bci,december,peak,0.49,0.44,0.42,0.42,0.41,0.45,0.55,0.65,0.58,0.48,0.46,0.46,0.45,0.45,0.46,0.51,0.65,0.9,1.01,0.99,0.97,0.91,0.77,0.65
bci,december,week,0.44,0.4,0.38,0.38,0.37,0.4,0.49,0.58,0.52,0.42,0.4,0.39,0.39,0.39,0.41,0.45,0.59,0.81,0.92,0.9,0.88,0.82,0.69,0.57
bci,december,weekend,0.48,0.43,0.41,0.41,0.4,0.44,0.53,0.63,0.56,0.45,0.43,0.42,0.41,0.42,0.43,0.48,0.62,0.86,0.97,0.95,0.93,0.87,0.73,0.61
bci,february,peak,0.49,0.44,0.42,0.42,0.42,0.45,0.55,0.63,0.55,0.44,0.43,0.42,0.42,0.42,0.43,0.46,0.56,0.75,0.89,0.97,0.95,0.89,0.74,0.63
bci,february,week,0.45,0.4,0.38,0.38,0.37,0.41,0.49,0.57,0.5,0.4,0.38,0.38,0.37,0.37,0.39,0.41,0.51,0.69,0.82,0.9,0.89,0.82,0.69,0.58
bci,february,weekend,0.48,0.42,0.41,0.41,0.4,0.44,0.52,0.61,0.54,0.43,0.41,0.4,0.39,0.4,0.41,0.44,0.54,0.73,0.87,0.95,0.94,0.87,0.73,0.61
bci,january,peak,0.51,0.46,0.45,0.44,0.43,0.47,0.58,0.67,0.61,0.49,0.48,0.47,0.46,0.46,0.47,0.5,0.62,0.85,0.98,1.0,0.96,0.9,0.76,0.64
bci,january,week,0.45,0.4,0.39,0.38,0.37,0.41,0.5,0.6,0.53,0.42,0.41,0.4,0.39,0.4,0.41,0.45,0.56,0.78,0.91,0.93,0.89,0.83,0.7,0.58
bci,january,weekend,0.47,0.42,0.4,0.4,0.39,0.43,0.52,0.63,0.56,0.44,0.43,0.42,0.42,0.42,0.43,0.47,0.59,0.81,0.95,0.98,0.94,0.87,0.73,0.6
