case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bci,march,peak,17.07,16.61,16.44,18.14,22.75,27.91,26.22,20.06,14.14,6.68,1.81,1.47,0.6,2.86,5.83,16.3,26.38,35.34,41.84,40.3,39.65,33.76,26.58,20.69
bci,march,week,15.28,14.99,14.88,16.18,19.68,24.29,23.63,17.78,10.43,2.82,0.0,0.0,0.0,0.0,2.68,10.68,17.82,31.19,37.0,36.69,32.95,26.74,20.81,16.69
bci,march,weekend,16.23,15.96,15.86,17.21,20.86,25.84,24.96,17.99,10.02,2.26,0.0,0.0,0.0,0.0,0.0,7.04,19.74,32.48,38.75,38.28,34.69,28.33,22.13,17.71
bci,may,peak,17.39,16.76,16.39,18.28,22.82,22.8,23.66,17.35,10.32,5.78,3.89,3.66,6.87,9.06,15.02,27.24,38.89,45.35,46.83,47.86,40.71,32.06,24.4,18.79
bci,may,week,14.89,14.57,14.44,16.46,19.45,20.21,20.35,14.29,6.66,1.33,0.0,0.0,0.0,0.02,4.69,16.05,24.07,31.99,35.52,38.79,33.05,25.66,19.43,15.53
bci,may,weekend,15.45,15.11,15.01,17.15,20.06,21.07,21.14,13.63,5.91,0.51,0.0,0.0,0.0,0.0,0.66,12.17,26.5,33.75,36.25,39.8,34.17,26.67,20.36,16.38
bci,november,peak,17.54,17.02,16.77,18.1,22.56,27.66,28.78,23.44,16.75,10.6,5.05,3.38,1.63,4.41,5.38,16.95,33.27,40.17,40.68,39.6,39.1,33.64,26.83,21.11
bci,november,week,15.87,15.44,15.27,15.45,17.69,22.07,25.98,20.31,13.99,7.92,2.87,0.85,0.0,1.41,1.9,8.05,26.63,36.13,37.72,36.85,35.78,30.43,24.06,18.86
bci,november,weekend,16.5,16.08,15.91,16.41,19.13,23.81,27.43,20.69,13.1,6.88,2.07,0.02,0.0,0.0,0.02,8.3,28.09,37.97,39.39,38.55,36.9,31.12,24.55,19.34
bci,october,peak,16.73,16.5,16.41,18.65,23.4,28.94,27.4,17.94,10.3,3.02,2.33,1.65,2.43,4.37,9.65,22.13,33.92,43.59,41.86,40.7,34.09,26.85,20.96,17.23
bci,october,week,14.9,14.69,14.63,16.69,21.06,26.14,23.99,15.39,8.18,1.05,0.0,0.0,0.0,0.53,5.14,16.93,27.06,37.81,37.71,37.04,31.61,24.75,18.94,15.37
bci,october,weekend,15.51,15.26,15.19,17.36,21.96,27.32,24.91,14.79,7.43,0.08,0.0,0.0,0.0,0.0,1.41,14.99,29.42,39.46,39.46,38.74,33.0,25.83,19.85,16.17
bci,september,peak,19.13,18.07,17.54,19.35,23.88,30.28,25.47,19.57,12.07,8.42,10.52,12.74,16.38,20.48,29.26,41.64,46.25,51.8,54.93,49.84,42.53,33.11,25.38,20.28
bci,september,week,15.24,14.77,14.5,16.42,20.76,24.4,21.9,15.89,8.06,2.93,2.03,1.69,4.37,7.01,13.35,23.85,27.69,36.22,40.43,40.5,34.34,26.71,20.23,16.05
bci,september,weekend,16.18,15.57,15.28,17.28,21.83,25.6,23.04,15.57,7.75,2.92,2.93,3.58,6.34,8.82,13.54,24.36,36.3,44.52,46.31,44.57,37.7,29.11,21.95,17.34
