case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bci,march,peak,17.06,16.61,16.44,18.14,22.75,27.91,26.3,20.97,15.89,9.2,4.68,4.45,3.73,5.64,8.27,18.25,27.73,35.56,41.84,40.3,39.65,33.75,26.58,20.69
bci,march,week,15.28,14.99,14.88,16.18,19.68,24.29,23.71,18.7,12.19,5.34,2.7,1.98,0.98,2.66,5.13,12.65,21.9,31.41,37.0,36.69,32.95,26.74,20.81,16.69
bci,march,weekend,16.23,15.96,15.86,17.21,20.86,25.84,25.04,18.91,11.78,4.79,1.89,1.24,0.09,1.56,4.11,11.76,22.27,32.7,38.75,38.28,34.69,28.33,22.13,17.71
bci,may,peak,17.39,16.75,16.38,18.27,22.82,22.9,24.2,18.77,12.55,8.46,7.09,7.05,10.02,12.09,17.58,29.22,40.14,45.97,46.83,47.86,40.71,32.06,24.4,18.78
bci,may,week,14.89,14.57,14.44,16.46,19.45,20.31,20.9,15.7,8.89,4.01,1.76,0.81,2.22,3.05,7.26,18.05,28.08,33.77,35.52,38.79,33.05,25.66,19.43,15.53
bci,may,weekend,15.45,15.11,15.01,17.15,20.06,21.18,21.69,15.05,8.15,3.19,0.92,0.0,1.06,1.78,5.98,16.91,28.61,34.36,36.25,39.8,34.17,26.67,20.36,16.38
bci,november,peak,17.53,17.01,16.77,18.09,22.55,27.66,28.78,24.05,18.19,12.57,7.44,6.11,4.65,6.98,7.88,18.72,33.39,40.17,40.68,39.6,39.1,33.63,26.83,21.11
bci,november,week,15.87,15.44,15.27,15.45,17.69,22.07,25.98,20.93,15.43,9.9,5.27,3.59,1.87,3.99,4.41,9.85,27.62,36.13,37.72,36.85,35.78,30.43,24.06,18.86
bci,november,weekend,16.5,16.08,15.91,16.41,19.13,23.81,27.43,21.3,14.55,8.86,4.47,2.75,1.07,3.02,3.6,10.1,28.21,37.97,39.39,38.55,36.9,31.12,24.55,19.34
bci,october,peak,16.72,16.5,16.4,18.65,23.4,28.94,27.55,19.17,12.25,5.7,5.26,4.68,5.44,7.19,11.97,23.7,34.58,43.61,41.86,40.7,34.09,26.84,20.95,17.23
bci,october,week,14.9,14.69,14.63,16.69,21.06,26.14,24.15,16.62,10.13,3.73,2.8,2.18,2.34,3.35,7.47,18.52,29.0,37.82,37.71,37.04,31.61,24.75,18.94,15.37
bci,october,weekend,15.51,15.26,15.19,17.36,21.96,27.32,25.06,16.02,9.39,2.76,1.77,1.38,1.29,2.31,6.49,17.85,30.09,39.48,39.46,38.74,33.0,25.83,19.85,16.17
bci,september,peak,19.13,18.07,17.54,19.35,23.88,30.28,25.77,20.78,14.2,11.07,13.48,15.84,19.21,21.93,28.09,40.08,50.21,54.7,55.82,49.84,42.53,33.1,25.37,20.27
bci,september,week,15.23,14.77,14.49,16.41,20.76,24.4,22.21,17.1,10.19,5.58,4.99,4.79,7.19,8.46,12.18,22.28,31.65,39.12,41.32,40.5,34.34,26.71,20.23,16.04
bci,september,weekend,16.18,15.57,15.28,17.27,21.82,25.6,23.35,16.78,9.88,5.56,5.88,6.68,9.16,11.42,15.76,26.19,37.5,44.67,46.31,44.57,37.69,29.11,21.95,17.34
