,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
54,WECCbus57,1.0131495000000001,-1.7154075,1.9864477999999999,-0.19006722,january,9,1,weekday,
60,WECCbus57,1.0140444,-1.698826,1.8494121,-0.19418038,january,10,1,weekday,
66,WECCbus57,1.0143582,-1.6913561999999998,1.8375591,-0.19369449,january,11,1,weekday,
72,WECCbus57,1.0144435,-1.6896354999999998,1.8305391,-0.19375619,january,12,1,weekday,
78,WECCbus57,1.0144463,-1.6894401999999997,1.8300409,-0.19374899,january,13,1,weekday,
84,WECCbus57,1.0144273000000001,-1.6897779999999998,1.8357846999999998,-0.19356334,january,14,1,weekday,
90,WECCbus57,1.014285,-1.6932194,1.8464433999999998,-0.19357063,january,15,1,weekday,
96,WECCbus57,1.0138943999999999,-1.7019078999999997,1.8805205000000003,-0.19327143,january,16,1,weekday,
102,WECCbus57,1.0111925,-1.745945,2.391571,-0.16813718,january,17,1,weekday,
108,WECCbus57,1.0117789000000001,-1.7438311000000002,1.9730198,-0.19384400000000002,january,18,1,weekday,
114,WECCbus57,1.0107694999999999,-1.7592955000000001,2.1566976,-0.18526900000000002,january,19,1,weekday,
120,WECCbus57,1.0085437,-1.7863251,2.7350321,-0.14213639,january,20,1,weekday,
126,WECCbus57,1.0088304,-1.7821331999999999,2.7003022999999997,-0.14510328,january,21,1,weekday,
132,WECCbus57,1.0096691999999998,-1.7698281999999999,2.5938103999999997,-0.15393210000000002,january,22,1,weekday,
138,WECCbus57,1.0109017,-1.7509211999999998,2.4316471,-0.16565267,january,23,1,weekday,
144,WECCbus57,1.0119264000000001,-1.7343499,2.2903971000000003,-0.17431678,january,0,3,weekend,
150,WECCbus57,1.0125746,-1.7233796000000001,2.1939802999999998,-0.17935315,january,1,3,weekend,
156,WECCbus57,1.0128319,-1.7189653999999999,2.154809,-0.18122063,january,2,3,weekend,
162,WECCbus57,1.0129137,-1.7175582999999999,2.1393823,-0.18197697,january,3,3,weekend,
168,WECCbus57,1.0129285,-1.7172968999999998,2.1370638,-0.18208188,january,4,3,weekend,
174,WECCbus57,1.0127484,-1.7204331999999998,2.1616459,-0.18097119,january,5,3,weekend,
180,WECCbus57,1.0122188,-1.7294793000000002,2.2379366000000003,-0.17718189,january,6,3,weekend,
186,WECCbus57,1.0113748,-1.7436474999999998,2.3509076,-0.17098885,january,7,3,weekend,
192,WECCbus57,1.0113712,-1.74446,2.3395497000000005,-0.17188175,january,8,3,weekend,
198,WECCbus57,1.0131567,-1.7149397000000002,1.9736699,-0.19052260000000001,january,9,3,weekend,
204,WECCbus57,1.0140853,-1.6976803,1.8292167000000001,-0.1947484,january,10,3,weekend,
210,WECCbus57,1.0144137,-1.6901271,1.817396,-0.19423509,january,11,3,weekend,
216,WECCbus57,1.0145005,-1.6886118000000003,1.8101906000000003,-0.19432184,january,12,3,weekend,
222,WECCbus57,1.0145182,-1.6881491000000002,1.8075892,-0.19434224,january,13,3,weekend,
228,WECCbus57,1.0145097,-1.6882439999999999,1.8125718999999998,-0.19415219,january,14,3,weekend,
234,WECCbus57,1.0143546,-1.6909499,1.8233273,-0.19406886,january,15,3,weekend,
240,WECCbus57,1.0140108,-1.6996897000000002,1.8443231,-0.19436634,january,16,3,weekend,
246,WECCbus57,1.0129473,-1.7220388,1.8926256999999997,-0.19502593,january,17,3,weekend,
252,WECCbus57,1.0111702,-1.7526959999999998,2.1007968,-0.18778601,january,18,3,weekend,
258,WECCbus57,1.0088357,-1.7842357,2.6073319,-0.15391063,january,19,3,weekend,
264,WECCbus57,1.0081198,-1.7922551,2.7887988,-0.13713363,january,20,3,weekend,
270,WECCbus57,1.0084259,-1.7878858,2.7500426,-0.14062423,january,21,3,weekend,
276,WECCbus57,1.009325,-1.7748962,2.637121,-0.15038688,january,22,3,weekend,
282,WECCbus57,1.0106163000000001,-1.7553126000000001,2.4711092,-0.16293665,january,23,3,weekend,
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,february,0,5,weekday,
6,WECCbus157,1.0309287,-0.7863627,2.7823056,-0.26478901,february,1,5,weekday,
12,WECCbus157,1.0312158,-0.78184281,2.7473907000000004,-0.26552208,february,2,5,weekday,
18,WECCbus157,1.0313107,-0.7803565,2.7356507999999997,-0.26576645,february,3,5,weekday,
24,WECCbus157,1.0313272,-0.78003388,2.7339236000000002,-0.26576561,february,4,5,weekday,
30,WECCbus157,1.031125,-0.78322483,2.7586974,-0.26525355,february,5,5,weekday,
36,WECCbus157,1.030481,-0.79307966,2.8364307,-0.26335419,february,6,5,weekday,
42,WECCbus157,1.0295415,-0.80650638,2.9472266,-0.25974196,february,7,5,weekday,
48,WECCbus157,1.029642,-0.80490968,2.9365806,-0.26003742,february,8,5,weekday,
54,WECCbus157,1.0308700000000002,-0.78546337,2.798288,-0.26341859999999995,february,9,5,weekday,
60,WECCbus157,1.0320873,-0.76642724,2.6442539000000003,-0.26648817,february,10,5,weekday,
66,WECCbus157,1.0324849,-0.76037745,2.5890687999999997,-0.26747091,february,11,5,weekday,
72,WECCbus157,1.0327361,-0.75652572,2.5529688,-0.26801233,february,12,5,weekday,
78,WECCbus157,1.0327035,-0.75702537,2.5577243,-0.2679428,february,13,5,weekday,
84,WECCbus157,1.0327278,-0.75669007,2.5539301,-0.26801108,february,14,5,weekday,
90,WECCbus157,1.0324219000000001,-0.76145584,2.5972236,-0.26738308,february,15,5,weekday,
96,WECCbus157,1.0316114,-0.77378405,2.7070376,-0.26530304,february,16,5,weekday,
102,WECCbus157,1.0297998,-0.80224978,2.9194876,-0.2602766,february,17,5,weekday,
108,WECCbus157,1.0274790999999999,-0.82885639,3.1951231,-0.24575718,february,18,5,weekday,
114,WECCbus157,1.0261405000000001,-0.84753619,3.3217578999999997,-0.2392614,february,19,5,weekday,
120,WECCbus157,1.0257473,-0.85750904,3.3378137999999997,-0.24078199,february,20,5,weekday,
126,WECCbus157,1.0259774,-0.85465941,3.3153892,-0.2421386,february,21,5,weekday,
132,WECCbus157,1.0271006999999999,-0.84051859,3.2041333,-0.24870354,february,22,5,weekday,
138,WECCbus157,1.0286513000000002,-0.81967843,3.0424255000000002,-0.25638048,february,23,5,weekday,
144,WECCbus157,1.0299154000000001,-0.80169767,2.9016398,-0.26158786,february,0,6,weekend,
150,WECCbus157,1.0307327,-0.78942725,2.8056084,-0.26424801,february,1,6,weekend,
156,WECCbus157,1.0310449000000002,-0.78461657,2.7677535,-0.26513049,february,2,6,weekend,
162,WECCbus157,1.0311375,-0.78308845,2.7568576,-0.26532251,february,3,6,weekend,
168,WECCbus157,1.0311594000000002,-0.78274425,2.7541857000000003,-0.26537876,february,4,6,weekend,
174,WECCbus157,1.0309366,-0.78618059,2.7814325,-0.26474604,february,5,6,weekend,
180,WECCbus157,1.0302579,-0.79643756,2.8623209,-0.26259431,february,6,6,weekend,
186,WECCbus157,1.0292386999999998,-0.81074869,2.9812605,-0.25842863,february,7,6,weekend,
192,WECCbus157,1.0294494,-0.80781023,2.9573223,-0.25932079,february,8,6,weekend,
198,WECCbus157,1.0309069,-0.78498037,2.7929351000000002,-0.26352937,february,9,6,weekend,
204,WECCbus157,1.0321505,-0.76541106,2.6354111000000002,-0.26656012,february,10,6,weekend,
210,WECCbus157,1.0325363,-0.75945234,2.5818773,-0.26743502,february,11,6,weekend,
216,WECCbus157,1.0327629,-0.75591726,2.5495071,-0.26788165,february,12,6,weekend,
