LineData,,,,
Line176/177,,,,
Bus150-Bus154,,,,
Dates,Pfrom(kW),Qfrom(KVar),Pto(kW),Qto(kVar)
03/21/2017 10:00,33.3,20.59,-33.25,-32.54
03/21/2017 11:00,31.55,19.76,-31.5,-31.78
03/21/2017 12:00,30.65,19.35,-30.61,-31.4
03/21/2017 13:00,30.85,19.44,-30.8,-31.48
03/21/2017 14:00,31.2,19.6,-31.15,-31.63
03/21/2017 15:00,31.94,19.94,-31.9,-31.95
03/21/2017 16:00,32.52,20.22,-32.47,-32.2
03/21/2017 17:00,35.46,21.67,-35.4,-33.52
03/21/2017 18:00,39.97,24.08,-39.89,-35.72
03/21/2017 19:00,40.34,24.29,-40.26,-35.91
03/21/2017 20:00,38.92,23.5,-38.85,-35.19
03/21/2017 21:00,36.29,22.1,-36.23,-33.92
03/21/2017 22:00,32.61,20.26,-32.56,-32.24
03/21/2017 23:00,30.21,19.15,-30.16,-31.21
03/22/2017 00:00,28.63,18.45,-28.59,-30.57
03/22/2017 01:00,27.26,17.86,-27.23,-30.04
03/22/2017 02:00,26.62,17.59,-26.58,-29.79
03/22/2017 03:00,26.86,17.7,-26.83,-29.88
03/22/2017 04:00,27.42,17.93,-27.38,-30.1
03/22/2017 05:00,30.53,19.29,-30.48,-31.35
03/22/2017 06:00,35.8,21.84,-35.74,-33.68
03/22/2017 07:00,37.43,22.69,-37.37,-34.46
03/22/2017 08:00,35.56,21.72,-35.5,-33.57
03/22/2017 09:00,34.81,21.34,-34.75,-33.22
03/22/2017 10:00,33.3,20.59,-33.25,-32.54
03/22/2017 11:00,31.55,19.76,-31.5,-31.78
03/22/2017 12:00,30.65,19.35,-30.61,-31.4
03/22/2017 13:00,30.85,19.44,-30.8,-31.48
03/22/2017 14:00,31.2,19.6,-31.15,-31.63
03/22/2017 15:00,31.94,19.94,-31.9,-31.95
03/22/2017 16:00,32.52,20.22,-32.47,-32.2
03/22/2017 17:00,35.46,21.67,-35.4,-33.52
03/22/2017 18:00,39.97,24.08,-39.89,-35.72
03/22/2017 19:00,40.34,24.29,-40.26,-35.91
03/22/2017 20:00,38.92,23.5,-38.85,-35.19
03/22/2017 21:00,36.29,22.1,-36.23,-33.92
03/22/2017 22:00,32.61,20.26,-32.56,-32.24
03/22/2017 23:00,30.21,19.15,-30.16,-31.21
03/23/2017 00:00,28.63,18.45,-28.59,-30.57
03/23/2017 01:00,27.26,17.86,-27.23,-30.04
03/23/2017 02:00,26.62,17.59,-26.58,-29.79
03/23/2017 03:00,26.86,17.7,-26.83,-29.88
03/23/2017 04:00,27.42,17.93,-27.38,-30.1
03/23/2017 05:00,30.53,19.29,-30.48,-31.35
03/23/2017 06:00,35.8,21.84,-35.74,-33.68
03/23/2017 07:00,37.43,22.69,-37.37,-34.46
03/23/2017 08:00,35.56,21.72,-35.5,-33.57
03/23/2017 09:00,34.81,21.34,-34.75,-33.22
03/23/2017 10:00,33.3,20.59,-33.25,-32.54
03/23/2017 11:00,31.55,19.76,-31.5,-31.78
03/23/2017 12:00,30.65,19.35,-30.61,-31.4
03/23/2017 13:00,30.85,19.44,-30.8,-31.48
03/23/2017 14:00,31.2,19.6,-31.15,-31.63
03/23/2017 15:00,31.94,19.94,-31.9,-31.95
03/23/2017 16:00,32.52,20.22,-32.47,-32.2
03/23/2017 17:00,35.46,21.67,-35.4,-33.52
03/23/2017 18:00,39.97,24.08,-39.89,-35.72
03/23/2017 19:00,40.34,24.29,-40.26,-35.91
03/23/2017 20:00,38.92,23.5,-38.85,-35.19
03/23/2017 21:00,36.29,22.1,-36.23,-33.92
03/23/2017 22:00,32.61,20.26,-32.56,-32.24
03/23/2017 23:00,30.21,19.15,-30.16,-31.21
03/24/2017 00:00,28.63,18.45,-28.59,-30.57
03/24/2017 01:00,27.26,17.86,-27.23,-30.04
03/24/2017 02:00,26.62,17.59,-26.58,-29.79
03/24/2017 03:00,26.86,17.7,-26.83,-29.88
03/24/2017 04:00,27.42,17.93,-27.38,-30.1
03/24/2017 05:00,30.53,19.29,-30.48,-31.35
03/24/2017 06:00,35.8,21.84,-35.74,-33.68
03/24/2017 07:00,37.43,22.69,-37.37,-34.46
03/24/2017 08:00,35.56,21.72,-35.5,-33.57
03/24/2017 09:00,34.81,21.34,-34.75,-33.22
03/24/2017 10:00,33.3,20.59,-33.25,-32.54
03/24/2017 11:00,31.55,19.76,-31.5,-31.78
03/24/2017 12:00,30.65,19.35,-30.61,-31.4
03/24/2017 13:00,30.85,19.44,-30.8,-31.48
03/24/2017 14:00,31.2,19.6,-31.15,-31.63
03/24/2017 15:00,31.94,19.94,-31.9,-31.95
03/24/2017 16:00,32.52,20.22,-32.47,-32.2
03/24/2017 17:00,35.46,21.67,-35.4,-33.52
03/24/2017 18:00,39.97,24.08,-39.89,-35.72
03/24/2017 19:00,40.34,24.29,-40.26,-35.91
03/24/2017 20:00,38.92,23.5,-38.85,-35.19
03/24/2017 21:00,36.29,22.1,-36.23,-33.92
03/24/2017 22:00,32.61,20.26,-32.56,-32.24
03/24/2017 23:00,30.21,19.15,-30.16,-31.21
03/25/2017 00:00,28.63,18.45,-28.59,-30.57
03/25/2017 01:00,27.26,17.86,-27.23,-30.04
03/25/2017 02:00,26.62,17.59,-26.58,-29.79
03/25/2017 03:00,26.86,17.7,-26.83,-29.88
03/25/2017 04:00,27.42,17.93,-27.38,-30.1
03/25/2017 05:00,30.53,19.29,-30.48,-31.35
03/25/2017 06:00,35.8,21.84,-35.74,-33.68
03/25/2017 07:00,37.43,22.69,-37.37,-34.46
03/25/2017 08:00,35.56,21.72,-35.5,-33.57
03/25/2017 09:00,34.81,21.34,-34.75,-33.22
03/25/2017 10:00,33.3,20.59,-33.25,-32.54
03/25/2017 11:00,31.55,19.76,-31.5,-31.78
03/25/2017 12:00,30.65,19.35,-30.61,-31.4
03/25/2017 13:00,30.85,19.44,-30.8,-31.48
03/25/2017 14:00,31.2,19.6,-31.15,-31.63
03/25/2017 15:00,31.94,19.94,-31.9,-31.95
03/25/2017 16:00,32.52,20.22,-32.47,-32.2
03/25/2017 17:00,35.46,21.67,-35.4,-33.52
03/25/2017 18:00,39.97,24.08,-39.89,-35.72
03/25/2017 19:00,40.34,24.29,-40.26,-35.91
03/25/2017 20:00,38.92,23.5,-38.85,-35.19
03/25/2017 21:00,36.29,22.1,-36.23,-33.92
03/25/2017 22:00,32.61,20.26,-32.56,-32.24
03/25/2017 23:00,30.21,19.15,-30.16,-31.21
03/26/2017 00:00,28.63,18.45,-28.59,-30.57
03/26/2017 01:00,27.26,17.86,-27.23,-30.04
03/26/2017 02:00,26.62,17.59,-26.58,-29.79
03/26/2017 03:00,26.86,17.7,-26.83,-29.88
03/26/2017 04:00,27.42,17.93,-27.38,-30.1
03/26/2017 05:00,30.53,19.29,-30.48,-31.35
03/26/2017 06:00,35.8,21.84,-35.74,-33.68
03/26/2017 07:00,37.43,22.69,-37.37,-34.46
03/26/2017 08:00,35.56,21.72,-35.5,-33.57
03/26/2017 09:00,34.81,21.34,-34.75,-33.22
03/26/2017 10:00,33.3,20.59,-33.25,-32.54
03/26/2017 11:00,31.55,19.76,-31.5,-31.78
03/26/2017 12:00,30.65,19.35,-30.61,-31.4
03/26/2017 13:00,30.85,19.44,-30.8,-31.48
03/26/2017 14:00,31.2,19.6,-31.15,-31.63
03/26/2017 15:00,31.94,19.94,-31.9,-31.95
03/26/2017 16:00,32.52,20.22,-32.47,-32.2
03/26/2017 17:00,35.46,21.67,-35.4,-33.52
03/26/2017 18:00,39.97,24.08,-39.89,-35.72
03/26/2017 19:00,40.34,24.29,-40.26,-35.91
03/26/2017 20:00,38.92,23.5,-38.85,-35.19
03/26/2017 21:00,36.29,22.1,-36.23,-33.92
03/26/2017 22:00,32.61,20.26,-32.56,-32.24
03/26/2017 23:00,30.21,19.15,-30.16,-31.21
03/27/2017 00:00,28.63,18.45,-28.59,-30.57
03/27/2017 01:00,27.26,17.86,-27.23,-30.04
03/27/2017 02:00,26.62,17.59,-26.58,-29.79
03/27/2017 03:00,26.86,17.7,-26.83,-29.88
03/27/2017 04:00,27.42,17.93,-27.38,-30.1
03/27/2017 05:00,30.53,19.29,-30.48,-31.35
03/27/2017 06:00,35.8,21.84,-35.74,-33.68
03/27/2017 07:00,37.43,22.69,-37.37,-34.46
03/27/2017 08:00,35.56,21.72,-35.5,-33.57
03/27/2017 09:00,34.81,21.34,-34.75,-33.22
03/27/2017 10:00,33.3,20.59,-33.25,-32.54
03/27/2017 11:00,31.55,19.76,-31.5,-31.78
03/27/2017 12:00,30.65,19.35,-30.61,-31.4
03/27/2017 13:00,30.85,19.44,-30.8,-31.48
03/27/2017 14:00,31.2,19.6,-31.15,-31.63
03/27/2017 15:00,31.94,19.94,-31.9,-31.95
03/27/2017 16:00,32.52,20.22,-32.47,-32.2
03/27/2017 17:00,35.46,21.67,-35.4,-33.52
03/27/2017 18:00,39.97,24.08,-39.89,-35.72
03/27/2017 19:00,40.34,24.29,-40.26,-35.91
03/27/2017 20:00,38.92,23.5,-38.85,-35.19
03/27/2017 21:00,36.29,22.1,-36.23,-33.92
03/27/2017 22:00,32.61,20.26,-32.56,-32.24
03/27/2017 23:00,30.21,19.15,-30.16,-31.21
03/28/2017 00:00,28.63,18.45,-28.59,-30.57
03/28/2017 01:00,27.26,17.86,-27.23,-30.04
03/28/2017 02:00,26.62,17.59,-26.58,-29.79
03/28/2017 03:00,26.86,17.7,-26.83,-29.88
03/28/2017 04:00,27.42,17.93,-27.38,-30.1
03/28/2017 05:00,30.53,19.29,-30.48,-31.35
03/28/2017 06:00,35.8,21.84,-35.74,-33.68
03/28/2017 07:00,37.43,22.69,-37.37,-34.46
03/28/2017 08:00,35.56,21.72,-35.5,-33.57
03/28/2017 09:00,34.81,21.34,-34.75,-33.22
03/28/2017 10:00,33.3,20.59,-33.25,-32.54
03/28/2017 11:00,31.55,19.76,-31.5,-31.78
03/28/2017 12:00,30.65,19.35,-30.61,-31.4
03/28/2017 13:00,30.85,19.44,-30.8,-31.48
03/28/2017 14:00,31.2,19.6,-31.15,-31.63
03/28/2017 15:00,31.94,19.94,-31.9,-31.95
03/28/2017 16:00,32.52,20.22,-32.47,-32.2
03/28/2017 17:00,35.46,21.67,-35.4,-33.52
03/28/2017 18:00,39.97,24.08,-39.89,-35.72
03/28/2017 19:00,40.34,24.29,-40.26,-35.91
03/28/2017 20:00,38.92,23.5,-38.85,-35.19
03/28/2017 21:00,36.29,22.1,-36.23,-33.92
03/28/2017 22:00,32.61,20.26,-32.56,-32.24
03/28/2017 23:00,30.21,19.15,-30.16,-31.21
03/29/2017 00:00,28.63,18.45,-28.59,-30.57
03/29/2017 01:00,27.26,17.86,-27.23,-30.04
03/29/2017 02:00,26.62,17.59,-26.58,-29.79
03/29/2017 03:00,26.86,17.7,-26.83,-29.88
03/29/2017 04:00,27.42,17.93,-27.38,-30.1
03/29/2017 05:00,30.53,19.29,-30.48,-31.35
03/29/2017 06:00,35.8,21.84,-35.74,-33.68
03/29/2017 07:00,37.43,22.69,-37.37,-34.46
03/29/2017 08:00,35.56,21.72,-35.5,-33.57
03/29/2017 09:00,34.81,21.34,-34.75,-33.22
03/29/2017 10:00,33.3,20.59,-33.25,-32.54
03/29/2017 11:00,31.55,19.76,-31.5,-31.78
03/29/2017 12:00,30.65,19.35,-30.61,-31.4
03/29/2017 13:00,30.85,19.44,-30.8,-31.48
03/29/2017 14:00,31.2,19.6,-31.15,-31.63
03/29/2017 15:00,31.94,19.94,-31.9,-31.95
03/29/2017 16:00,32.52,20.22,-32.47,-32.2
03/29/2017 17:00,35.46,21.67,-35.4,-33.52
03/29/2017 18:00,39.97,24.08,-39.89,-35.72
03/29/2017 19:00,40.34,24.29,-40.26,-35.91
03/29/2017 20:00,38.92,23.5,-38.85,-35.19
03/29/2017 21:00,36.29,22.1,-36.23,-33.92
03/29/2017 22:00,32.61,20.26,-32.56,-32.24
03/29/2017 23:00,30.21,19.15,-30.16,-31.21
03/30/2017 00:00,28.63,18.45,-28.59,-30.57
03/30/2017 01:00,27.26,17.86,-27.23,-30.04
03/30/2017 02:00,26.62,17.59,-26.58,-29.79
03/30/2017 03:00,26.86,17.7,-26.83,-29.88
03/30/2017 04:00,27.42,17.93,-27.38,-30.1
03/30/2017 05:00,30.53,19.29,-30.48,-31.35
03/30/2017 06:00,35.8,21.84,-35.74,-33.68
03/30/2017 07:00,37.43,22.69,-37.37,-34.46
03/30/2017 08:00,35.56,21.72,-35.5,-33.57
03/30/2017 09:00,34.81,21.34,-34.75,-33.22
03/30/2017 10:00,33.3,20.59,-33.25,-32.54
03/30/2017 11:00,31.55,19.76,-31.5,-31.78
03/30/2017 12:00,30.65,19.35,-30.61,-31.4
03/30/2017 13:00,30.85,19.44,-30.8,-31.48
03/30/2017 14:00,31.2,19.6,-31.15,-31.63
03/30/2017 15:00,31.94,19.94,-31.9,-31.95
03/30/2017 16:00,32.52,20.22,-32.47,-32.2
03/30/2017 17:00,35.46,21.67,-35.4,-33.52
03/30/2017 18:00,39.97,24.08,-39.89,-35.72
03/30/2017 19:00,40.34,24.29,-40.26,-35.91
03/30/2017 20:00,38.92,23.5,-38.85,-35.19
03/30/2017 21:00,36.29,22.1,-36.23,-33.92
03/30/2017 22:00,32.61,20.26,-32.56,-32.24
03/30/2017 23:00,30.21,19.15,-30.16,-31.21
03/31/2017 00:00,28.63,18.45,-28.59,-30.57
03/31/2017 01:00,27.26,17.86,-27.23,-30.04
03/31/2017 02:00,26.62,17.59,-26.58,-29.79
03/31/2017 03:00,26.86,17.7,-26.83,-29.88
03/31/2017 04:00,27.42,17.93,-27.38,-30.1
03/31/2017 05:00,30.53,19.29,-30.48,-31.35
03/31/2017 06:00,35.8,21.84,-35.74,-33.68
03/31/2017 07:00,37.43,22.69,-37.37,-34.46
03/31/2017 08:00,35.56,21.72,-35.5,-33.57
03/31/2017 09:00,34.81,21.34,-34.75,-33.22
03/31/2017 10:00,33.3,20.59,-33.25,-32.54
03/31/2017 11:00,31.55,19.76,-31.5,-31.78
03/31/2017 12:00,30.65,19.35,-30.61,-31.4
03/31/2017 13:00,30.85,19.44,-30.8,-31.48
03/31/2017 14:00,31.2,19.6,-31.15,-31.63
03/31/2017 15:00,31.94,19.94,-31.9,-31.95
03/31/2017 16:00,32.52,20.22,-32.47,-32.2
03/31/2017 17:00,35.46,21.67,-35.4,-33.52
03/31/2017 18:00,39.97,24.08,-39.89,-35.72
03/31/2017 19:00,40.34,24.29,-40.26,-35.91
03/31/2017 20:00,38.92,23.5,-38.85,-35.19
03/31/2017 21:00,36.29,22.1,-36.23,-33.92
03/31/2017 22:00,32.61,20.26,-32.56,-32.24
03/31/2017 23:00,30.21,19.15,-30.16,-31.21
