,name,FullServiceRestaurant,Hospital,LargeHotel,LargeOffice,MediumOffice,MidriseApartment,OutPatient,PrimarySchool,QuickServiceRestaurant,ResidBase,ResidHigh,ResidLow,SecondarySchool,SmallHotel,SmallOffice,Stand-aloneRetail,StripMall,SuperMarket,Warehouse
271,N_1100442530,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,0.0,16939.0,0.0,0.0,0.0,0.0,447.0,0.0,101.0
272,N_1100044776,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72309.0,0.0,0.0,0.0,0.0,504.0,0.0,314.0
273,N_1100123711,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,68.0,34.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0
274,N_1100044772,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22805.0,0.0,0.0,0.0,0.0,353.0,0.0,111.0
275,N_1100039085,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27201.0,0.0,0.0,0.0,0.0,148.0,0.0,116.0
276,N_1100115129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20796.0,0.0,0.0,0.0,0.0,56.0,0.0,86.0
277,N_1100044778,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37148.0,0.0,0.0,0.0,0.0,372.0,0.0,168.0
278,N_1100080454,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,35.0
279,N_1100080107,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24092.0,0.0,0.0,0.0,0.0,299.0,0.0,113.0
280,N_1100080104,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54538.0,0.0,0.0,0.0,0.0,235.0,0.0,229.0
281,N_1100080075,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5698.0,388.0,8284.0,0.0,0.0,0.0,0.0,610.0,0.0,119.0
282,N_1100080450,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69427.0,0.0,0.0,0.0,0.0,326.0,0.0,293.0
283,N_1100080103,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3115.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,67.0
