case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,january,week,18.6,19.19,18.77,19.37,18.91,19.47,25.15,38.86,52.93,63.71,63.72,63.66,57.76,63.6,63.61,63.6,65.33,29.66,17.29,18.42,17.83,18.97,18.17,19.26
bc,january,weekend,19.67,19.71,19.85,19.91,19.99,20.04,20.15,17.45,14.61,18.09,18.3,17.64,13.13,12.56,12.8,12.44,10.9,17.8,19.12,18.52,19.67,18.8,19.92,18.96
bc,july,peak,15.42,15.42,15.42,15.42,13.93,17.62,38.11,58.8,75.28,79.58,83.12,79.66,91.11,95.86,98.34,99.54,42.84,22.71,24.84,21.12,18.84,15.97,15.58,15.42
bc,july,week,14.68,14.68,14.68,14.68,11.92,16.25,34.79,52.43,63.41,64.37,66.27,63.11,71.65,73.83,75.57,75.43,24.68,10.19,9.29,12.2,14.72,14.68,14.68,14.68
bc,july,weekend,15.42,15.42,15.42,15.42,12.74,6.49,12.06,12.57,17.47,17.66,18.21,13.8,14.91,17.12,19.22,11.79,12.15,11.77,10.64,13.15,15.42,15.42,15.42,15.42
bc,june,peak,16.44,17.16,17.0,17.85,12.88,17.62,38.11,57.59,69.69,70.27,71.91,68.93,78.2,79.87,81.07,79.35,22.69,7.6,7.16,12.44,15.42,15.42,15.65,16.23
bc,june,week,14.72,14.72,14.72,14.72,10.49,16.82,36.38,54.97,66.4,66.42,66.57,60.65,67.76,69.09,70.2,70.61,19.72,6.24,6.21,10.86,14.72,14.72,14.72,14.74
bc,june,weekend,15.51,15.63,15.67,15.79,11.3,6.74,12.09,12.56,17.41,17.41,17.41,12.06,12.09,12.16,12.43,7.05,6.93,6.74,6.55,11.7,15.42,15.42,15.42,15.42
bc,march,peak,20.47,20.55,21.2,20.98,21.67,26.55,41.09,57.59,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,25.04,18.14,18.94,19.37,19.9,19.92,20.49
bc,march,week,17.75,17.89,18.05,18.13,18.24,22.59,31.29,48.32,62.37,66.54,66.54,62.31,64.28,66.54,66.54,66.54,34.75,11.64,15.3,16.35,16.75,17.08,17.37,17.58
bc,march,weekend,19.07,19.5,19.47,19.94,19.86,20.12,14.65,14.49,16.51,18.64,18.3,15.38,12.53,12.47,12.4,9.69,7.16,8.24,16.76,17.63,18.06,18.22,18.44,18.51
bc,may,peak,18.4,18.88,18.89,18.78,17.86,17.62,38.11,57.59,69.57,69.57,69.57,63.07,69.81,70.38,71.44,72.45,20.49,6.49,7.98,15.64,16.16,16.44,17.36,17.17
bc,may,week,15.55,15.8,15.93,16.19,14.05,16.37,35.08,52.87,63.8,63.8,63.8,57.87,63.8,63.8,63.87,63.92,18.99,6.21,6.47,13.91,14.79,14.84,14.94,15.12
bc,may,weekend,16.21,16.23,16.77,16.69,14.39,7.73,12.72,12.94,17.69,17.53,17.43,12.06,12.06,12.06,12.06,6.54,6.54,6.59,6.98,14.92,15.88,16.04,16.15,16.41
bc,november,peak,20.51,20.43,20.55,20.45,20.61,26.55,42.58,57.59,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,75.51,32.09,18.05,19.15,18.58,19.84,19.22,20.34
bc,november,week,17.55,17.92,17.77,18.15,17.94,19.17,25.52,37.09,53.95,63.65,63.64,62.69,58.24,63.54,63.54,63.54,60.53,26.49,16.23,16.87,16.94,17.38,17.29,17.72
bc,november,weekend,18.47,18.42,18.71,18.64,18.91,18.75,18.37,13.04,14.37,16.38,16.11,14.48,11.6,11.41,11.27,9.89,11.11,16.92,17.66,17.73,18.29,18.11,18.55,18.28
bc,october,peak,18.81,19.51,19.47,20.05,19.91,26.55,42.58,57.59,69.57,69.57,69.57,63.07,69.57,69.57,69.92,70.08,21.98,15.42,15.98,16.73,16.77,17.7,17.92,18.76
bc,october,week,16.2,16.42,16.64,16.8,17.02,24.95,36.95,52.75,63.59,63.55,63.54,57.63,63.54,63.54,63.54,63.54,18.99,12.62,14.72,14.79,14.93,15.15,15.35,15.67
bc,october,weekend,16.53,16.81,17.0,17.3,17.56,17.85,14.82,12.95,16.99,16.6,16.42,11.49,11.45,11.44,11.44,6.49,6.82,13.51,15.7,15.94,16.12,16.39,16.75,16.9
bc,september,peak,15.42,15.42,15.42,15.42,15.61,26.55,38.11,57.59,69.57,70.13,71.0,67.1,77.65,76.96,77.01,78.37,28.47,11.28,15.42,15.42,15.42,15.42,15.42,15.42
bc,september,week,14.68,14.68,14.68,14.68,14.69,21.99,34.79,52.42,63.25,63.29,63.42,57.69,64.02,64.41,64.49,64.71,18.99,6.84,13.49,14.68,14.68,14.68,14.68,14.68
bc,september,weekend,15.42,15.42,15.42,15.42,15.45,12.74,12.72,13.24,18.63,18.63,18.73,12.88,13.43,14.29,15.05,8.15,7.97,8.17,14.58,15.42,15.42,15.42,15.42,15.42
bci,april,peak,19.56,19.59,19.76,19.69,19.77,23.57,38.11,57.59,69.57,69.57,69.57,63.07,69.57,69.57,69.57,69.57,22.04,8.07,13.41,17.76,19.0,18.32,19.4,18.6
